Fid, TFA_D, SFA_D, TMA_D, PMOO_D
13, 7093.843189406548, 2221.5467097661995, 2071.4017109930496, 2535.839773716772
294, 20326.411126372244, 6458.092637797176, 4328.709219800035, 5268.925393512627
16, 14137.466276744464, 4530.147640250138, 4276.815707364036, 5210.985515027214
300, 3451.6294782684918, 426.5654829509891, 244.42219156194724, 244.42219156194724
119, 669.8092497455164, 293.0415467636645, 287.52985297339376, 287.52985297339376
48, 6473.36466683077, 1586.4456862576908, 1431.0286374486154, 1908.5178007703885
268, 29263.002431482433, 4497.53939946806, 3992.5313264982597, 4440.56983040662
342, 890.2585721352837, 310.817786920475, 301.15031696023914, 477.5321388780216
289, 121.4493223897682, 14.096796348812466, 14.096796348812466, 14.096796348812466
207, 1546.7425504092816, 477.52414864239364, 395.0064545534108, 474.73018768104345
255, 4463.658008417053, 665.428292024529, 569.4916084178413, 569.4916084178415
215, 4217.395610976109, 408.44303844131394, 247.15962759195125, 248.0479406522193
111, 3183.806709606013, 231.73044882894106, 130.55450107435013, 130.5545010743501
127, 98.99999999999997, 9.082568807339449, 9.082568807339449, 9.082568807339449
186, 9686.912277329531, 2152.7172922649684, 1379.8993957744713, 1385.2761087356294
33, 9896.119286784076, 647.144392412494, 632.9800449015114, 663.0201354084829
188, 854.5099274430556, 332.23353577100823, 326.72184198073757, 398.8455532644983
99, 21095.92837403843, 6580.003236748148, 4444.3676001429585, 5706.4798585444805
459, 17396.15906569186, 1599.303629083131, 1529.7374903893428, 1536.2198811345036
112, 7071.393867016781, 2211.9966250934935, 2061.8516263203433, 2647.4011793823365
449, 16458.060324116977, 3517.4168930386463, 3323.802397671951, 3537.9552789822787
36, 14157.53132095291, 4533.2025291233585, 4279.870596237258, 5254.614256876939
194, 2032.6965713292516, 186.48592397516074, 170.23957306791303, 170.23957306791303
241, 1141.994011782575, 265.26463117606477, 188.21140131738403, 188.211401317384
141, 2485.864239090125, 495.6784933285668, 482.29343688242705, 571.4003431750431
243, 9032.263645653504, 900.2160881088474, 709.5863011978073, 711.7672090749769
261, 768.809249745517, 305.3400499710772, 299.82835618080645, 440.2714898820195
324, 70655.24683447368, 10406.193496727514, 4828.43859760362, 5667.20830536455
90, 8978.038429561764, 2145.7056836831916, 1852.0285875087645, 1879.8771181071022
113, 6681.113649271624, 1569.2644362537442, 1430.2741357270743, 1910.670262314739
265, 14024.53450702165, 4514.747409794654, 4261.4154769085535, 4282.220180161545
327, 1910.8032615280915, 540.0174327304538, 327.86919654812624, 383.90626254359614
348, 11750.727926348884, 859.8651625144448, 707.0899361191165, 713.0753335664433
398, 23416.522421410948, 5282.459239425456, 3319.3045941532732, 3686.490403637148
297, 20227.411126372244, 6450.057776018362, 4315.4414158600575, 4336.48356984123
218, 60134.995016787856, 6492.940676978539, 4954.2409607123, 6024.842117043828
125, 8411.720920872236, 2040.1983095764322, 1699.7794220406925, 1826.385927009657
359, 16934.510368098796, 5052.2371906084145, 4785.8947974016855, 5091.354883384534
358, 768.809249745517, 305.3400499710772, 299.82835618080645, 440.2714898820195
180, 19095.86799010446, 5294.249143601378, 4641.9003315706805, 5142.097574675653
159, 3451.6294782684918, 426.5654829509891, 244.42219156194724, 244.42219156194724
368, 60210.53001631716, 9622.600837588558, 4222.303898401459, 4550.216296306411
